path	labels	yamnet-3
Argyph'd/Au fond, qui sait, c’est peut-être plus heureux.aif	Vehicle:0.181|Motor vehicle (road):0.109|Car:0.097
Argyph'd/Spline Abstractions.aif	Synthesizer:0.778|Keyboard (musical):0.740
Argyph'd/heliogobbleus terrorgammons.aif	Sine wave:0.809|Harmonic:0.515|Electronic tuner:0.216
Argyph'd/nothing that can so effectively as a kiss evoke.aif	Sine wave:0.795|Chirp tone:0.546|Busy signal:0.327
Argyph'd/these strange thoughts that are making you so miserable.aif	Sine wave:0.809|Harmonic:0.460
Argyph'd/vercingetorix(ͱ).aif	Synthesizer:0.778|Keyboard (musical):0.740
Argyph'd/ᛦᛊ      ᚽᚢᛕᛁ.aif	Sine wave:0.807|Harmonic:0.507|Electronic tuner:0.217
Even More Da Heat/aahh.wav	Crying, sobbing:0.879|Baby cry, infant cry:0.744|Whimper:0.293
Even More Da Heat/aarumph.wav	Vehicle:0.075|Speech:0.057
Even More Da Heat/art fall.wav	Speech:0.164|Vehicle:0.076
Even More Da Heat/atmospheric drone 1 granular-pitched 2026-08-09 202901.wav	Whale vocalization:0.069
Even More Da Heat/atmospheric drone 1.wav	New-age music:0.209
Even More Da Heat/b 1.wav	Tabla:0.382|Drum:0.335|Percussion:0.302|Slam:0.163|Door:0.158|Arrow:0.107|Thump, thud:0.099
Even More Da Heat/b 2.wav	Percussion:0.133|Drum:0.105|Basketball bounce:0.087|Tabla:0.072|Trickle, dribble:0.068|Wood block:0.061
Even More Da Heat/b 3.wav	Percussion:0.212|Drum:0.138|Wood block:0.119|Arrow:0.071|Thump, thud:0.066
Even More Da Heat/big meters 1.wav	Fart:0.093|Water:0.062|Fire:0.057|Bicycle:0.056
Even More Da Heat/big vox.wav	Crying, sobbing:0.406|Baby cry, infant cry:0.305|Whimper:0.146|Screaming:0.129
Even More Da Heat/blurb 1.wav	Didgeridoo:0.388|Roaring cats (lions, tigers):0.206|Roar:0.177|Wild animals:0.160
Even More Da Heat/bottom heavy atmos.wav	New-age music:0.290
Even More Da Heat/cliper 1.wav	Tick:0.083|Static:0.076|Cacophony:0.059|Rustle:0.051|Clatter:0.051
Even More Da Heat/drum groove.wav	Speech:0.998
Even More Da Heat/eeaaahh.wav	Screaming:0.096|Crying, sobbing:0.079|Middle Eastern music:0.075|Singing:0.062|Whimper:0.051
Even More Da Heat/fla bon 1.wav	Music:0.981
Even More Da Heat/fla bon 2.wav	Electronic music:0.066
Even More Da Heat/fla pt 1.wav	Percussion:0.279|Drum kit:0.208|Drum:0.174|Drum machine:0.167
Even More Da Heat/fla pt 10.wav	Music:0.845
Even More Da Heat/fla pt 11.wav	Electronic music:0.079|Dubstep:0.052
Even More Da Heat/fla pt 12.wav	Music:0.965
Even More Da Heat/fla pt 2.wav	Percussion:0.255|Drum kit:0.183|Drum:0.174|Drum machine:0.131
Even More Da Heat/fla pt 3.wav	Percussion:0.228|Drum kit:0.185|Drum:0.159|Drum machine:0.085
Even More Da Heat/fla pt 4.wav	Percussion:0.188|Drum:0.170|Drum kit:0.138|Snare drum:0.079
Even More Da Heat/fla pt 5.wav	Music:0.992
Even More Da Heat/fla pt 6.wav	Music:0.992
Even More Da Heat/fla pt 7.wav	Drum machine:0.105|Electronic music:0.072|Sampler:0.055|Synthesizer:0.051
Even More Da Heat/fla pt 8.wav	Music:0.994
Even More Da Heat/fla pt 9.wav	Music:0.994
